N,P,K,temperature,humidity,ph,rainfall,label
7,19,3,32,51,6.37,738,Ground Nuts
4,16,14,35,58,7.58,880,Cotton
28,17,0,27,55,6.67,1738,Sugarcane
37,24,5,33,56,6.05,989,Ground Nuts
4,9,6,32,70,6.56,560,Ground Nuts
33,13,19,37,56,6.85,965,Wheat
21,0,4,27,55,6.17,859,Ground Nuts
31,6,17,28,68,7.2,1192,Cotton
26,36,2,30,71,6.59,947,Tobacco
9,20,8,36,71,6.52,643,Barley
19,33,16,36,52,7.03,526,Millets
5,7,8,29,65,7.11,863,Pulses
32,22,0,38,63,6.21,1388,Sugarcane
7,42,4,36,57,6.46,418,Barley
27,39,8,30,66,6.28,554,Millets
25,2,0,25,58,6.91,414,Oil seeds
11,15,11,31,72,6.17,770,Maize
38,10,10,34,50,6.51,1415,Paddy
22,14,18,32,64,6.18,435,Millets
25,6,18,27,59,7.74,822,Wheat
32,21,0,26,58,6.53,678,Maize
40,25,1,30,64,6.2,786,Maize
41,2,9,31,57,6.92,1521,Sugarcane
24,38,12,26,52,7.7,693,Oil seeds
8,1,0,37,53,7.24,808,Wheat
19,26,1,33,57,7.71,596,Oil seeds
25,5,10,31,56,7.37,431,Pulses
21,25,1,37,53,6.63,544,Pulses
4,13,10,26,51,7.05,776,Wheat
23,13,4,25,62,6.66,393,Millets
34,25,13,30,65,6.42,433,Pulses
23,22,2,36,52,6.35,730,Wheat
14,39,16,35,60,8.01,938,Cotton
14,16,1,34,62,6.56,389,Barley
21,20,18,26,60,6.64,529,Pulses
33,7,9,36,62,5.83,1244,Paddy
35,4,17,25,57,6.05,1317,Paddy
38,36,2,34,56,6.69,775,Oil seeds
12,4,0,28,68,6.75,946,Tobacco
11,25,19,26,65,6.1,696,Ground Nuts
20,41,7,38,57,6.21,597,Millets
17,7,16,33,58,7.13,644,Barley
16,15,11,36,65,6.2,506,Wheat
20,18,2,35,69,7.64,629,Oil seeds
19,15,8,37,56,6.21,452,Pulses
33,39,9,32,65,6.29,661,Ground Nuts
30,32,1,28,53,6.99,1671,Sugarcane
11,2,16,33,54,5.93,1103,Paddy
26,7,14,38,56,7.93,492,Oil seeds
16,20,13,28,71,6.51,767,Maize
42,10,13,36,58,6.33,782,Maize
42,12,1,29,61,7.74,808,Wheat
4,3,9,34,51,6.25,716,Tobacco
30,17,14,31,54,6.84,1072,Paddy
37,40,11,36,59,6.3,683,Maize
27,11,16,31,71,6.4,769,Tobacco
17,25,10,30,52,6.97,304,Barley
32,42,2,27,70,6.51,937,Ground Nuts
18,27,4,26,52,8.06,849,Cotton
31,26,12,38,50,6.48,1471,Sugarcane
7,32,10,27,71,7.11,1096,Sugarcane
35,27,5,35,69,7.26,716,Barley
27,32,3,32,58,6.17,663,Maize
6,14,5,28,67,7.36,1032,Cotton
22,27,0,34,67,6.08,612,Maize
32,11,15,29,57,6.05,545,Maize
41,26,0,31,60,6.65,853,Wheat
41,34,7,30,68,6.74,709,Ground Nuts
21,18,0,27,68,7.27,519,Millets
22,41,7,29,61,6.56,355,Barley
6,25,8,37,61,6.93,712,Oil seeds
21,30,13,28,53,6.78,694,Tobacco
41,36,13,30,59,6.29,1499,Paddy
36,8,15,35,51,7.43,519,Maize
23,25,3,30,51,7.34,1427,Sugarcane
32,40,13,28,72,7.08,402,Wheat
6,13,2,27,53,7.83,775,Cotton
17,27,4,38,63,6.16,904,Tobacco
12,38,2,30,61,6.94,444,Millets
11,13,0,38,68,6.54,616,Maize
4,22,1,25,59,6.35,1007,Ground Nuts
28,16,7,35,60,7.19,338,Barley
17,34,5,30,70,6.55,437,Pulses
10,37,10,25,62,7.46,539,Barley
4,31,3,33,69,7.06,915,Wheat
39,14,8,25,59,7.02,521,Oil seeds
11,9,7,27,70,7.24,701,Cotton
6,5,8,26,61,6.55,760,Maize
40,36,9,35,55,6.67,1002,Ground Nuts
27,38,14,29,69,7.76,492,Oil seeds
34,22,0,33,66,6.21,384,Barley
35,30,3,30,62,7.55,1183,Cotton
11,5,8,28,54,7.55,1140,Cotton
13,31,6,34,65,7.06,612,Ground Nuts
16,21,3,25,64,7.71,761,Oil seeds
16,33,0,32,62,7.52,989,Cotton
26,39,11,31,58,6.77,454,Barley
19,40,18,37,55,7.13,610,Ground Nuts
12,31,10,31,52,7.77,710,Cotton
21,8,2,34,64,7.27,1153,Cotton
17,3,13,34,63,6.91,639,Wheat
35,11,16,35,72,6.16,451,Millets
10,20,13,32,69,7.5,451,Millets
37,38,5,25,69,8.19,912,Cotton
34,41,2,37,64,6.6,1267,Sugarcane
22,23,2,38,51,6.2,1378,Sugarcane
4,6,3,29,68,6.56,799,Oil seeds
5,22,17,26,70,6.67,804,Pulses
32,8,1,37,67,7.61,520,Oil seeds
28,32,18,30,59,6.67,456,Wheat
16,9,8,26,52,5.73,985,Tobacco
5,27,8,25,72,7.18,549,Pulses
29,6,2,32,64,5.97,833,Tobacco
7,20,13,31,66,6.01,979,Tobacco
32,31,3,26,51,6.05,793,Tobacco
13,34,7,29,58,7.46,700,Oil seeds
24,25,17,36,66,5.94,1328,Paddy
14,33,14,28,70,6.92,737,Oil seeds
10,32,16,31,64,7.4,504,Wheat
17,41,7,34,50,7.15,1030,Sugarcane
4,40,3,36,53,7.51,477,Oil seeds
19,29,0,27,58,6.45,838,Tobacco
41,31,19,25,65,6.72,657,Barley
6,21,16,31,52,6.23,1043,Sugarcane
11,40,1,25,71,6.5,741,Tobacco
26,38,5,35,67,7.25,472,Oil seeds
40,2,18,36,53,7.3,383,Barley
42,27,19,33,72,6.91,553,Millets
23,12,10,26,51,6.61,728,Tobacco
13,19,2,27,63,8.02,1148,Cotton
35,34,8,33,72,6.66,919,Ground Nuts
22,11,10,26,68,7.96,1180,Cotton
4,20,4,33,51,7.4,963,Cotton
6,24,4,25,61,6.43,1426,Paddy
29,6,14,25,69,7.44,1592,Sugarcane
39,35,7,32,56,5.62,985,Tobacco
17,40,8,31,59,6.15,754,Pulses
18,20,4,34,67,6.01,993,Ground Nuts
